month,year,bust,cupsize,waist,hips,height,weight,bmi,waist2hip,model_of_the_year
September,1986,34,3,23,32,67,110,17.2265538,0.71875,0
October,1986,35,2,23,34,66,107,17.26836547,0.676470588,0
November,1986,36,6,23,35,70,127,18.22061224,0.657142857,1
December,1986,34,3,21,33,67,103,16.13031856,0.636363636,0
January,1987,35,3,23,34,65,105,17.47100592,0.676470588,0
February,1987,38,4,24,36,68,130,19.76427336,0.666666667,0
March,1987,34,6,23,35,67,121,18.94920918,0.657142857,0
April,1987,32,4,23,34,61,98,18.51491535,0.676470588,0
May,1987,34,3,24,35,68,120,18.24394464,0.685714286,0
June,1987,35,4,21,33,67,107,16.75673869,0.636363636,0
July,1987,35,3,23,35,67,115,18.00957897,0.657142857,0
August,1987,32,5,22,34,62,100,18.28824142,0.647058824,0
September,1987,36,4,24,36,67,118,18.47939407,0.666666667,0
October,1987,36,3,24,35,65,105,17.47100592,0.685714286,0
November,1987,34,3,23,33.5,65,105,17.47100592,0.686567164,0
December,1987,35,4,24,34,71,127,17.71097005,0.705882353,1
January,1988,36,4,24,36,69,122,18.01428271,0.666666667,1
February,1988,34,3,22,33,65,101,16.80544379,0.666666667,0
March,1988,35,3,25,35,68,117,17.78784602,0.714285714,0
April,1988,36,3,25,35,68,125,19.004109,0.714285714,0
May,1988,36,3,24,35,67,118,18.47939407,0.685714286,0
June,1988,35,3,24,35,67,110,17.2265538,0.685714286,0
July,1988,36,3,22,32,66.5,109,17.32760473,0.6875,0
August,1988,35,4,24,33.5,66,121,19.52777778,0.71641791,0
September,1988,36,3,24.5,34,63,105,18.5978836,0.720588235,0
October,1988,36,4,21,32,63,94,16.64953389,0.65625,0
November,1988,35,2,24,35,68.5,123,18.42804625,0.685714286,0
December,1988,35,4,24,35,66,115,18.55945822,0.685714286,0
January,1989,35,4,24,35,70,122,17.50326531,0.685714286,0
February,1989,37,2,24,35,65.5,117,19.17161005,0.685714286,0
March,1989,37,4,24.5,36,70,125,17.93367347,0.680555556,0
April,1989,38,3,24,34,67,117,18.32278904,0.705882353,0
May,1989,36,4,23,35,67,114,17.85297394,0.657142857,0
June,1989,36,4,24,34,69,120,17.7189666,0.705882353,0
July,1989,34,3,24,32,65,108,17.97017751,0.75,0
August,1989,38,3,24,34,67,110,17.2265538,0.705882353,0
September,1989,35,3,23,34,64.5,103,17.40496364,0.676470588,0
October,1989,36,3,21,32,64,105,18.02124023,0.65625,0
November,1989,36,4,23,32,66,112,18.07529844,0.71875,1
December,1989,37,9,24,35,68,120,18.24394464,0.685714286,0
January,1990,36,5,23,35,67,115,18.00957897,0.657142857,0
February,1990,36,5,22,34,67,105,16.44352863,0.647058824,0
March,1990,34,3,23,34,66,110,17.75252525,0.676470588,0
April,1990,37,3,24,36,69,120,17.7189666,0.666666667,1
